s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-3.4977415E-005,-1.1367338E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5091088E-005, 0.0000000E+000, 0.0000000E+000
 6.9877125E-002, 0.0000000E+000,-7.6719454E-004,-1.3844151E-005, 4.0044019E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3029111E+002,-7.8063825E-004, 0.0000000E+000, 0.0000000E+000
 1.3975425E-001, 0.0000000E+000,-7.6716937E-004,-4.5741992E-002, 1.5075620E-003,-3.9877608E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5769380E-004,-4.8989360E-002, 6.0824441E-003, 6.0824441E-003
 2.0963137E-001, 9.6642357E+001,-7.6672419E-004, 1.6168183E+000, 1.2058386E-003,-4.1475791E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8434649E-002, 9.8255467E+001, 6.0824441E-003, 6.0824441E-003
 2.7950850E-001, 1.5638432E+002,-2.3293892E-001, 2.6041191E+000,-3.7705812E-001,-1.8874091E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8117952E+001, 1.5835957E+002, 7.3019778E-003, 7.3019778E-003
 3.4938562E-001, 2.1552275E+002,-1.3268028E+000, 3.5114592E+000,-3.7710161E-001,-2.0753253E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5760559E+002, 2.1730955E+002, 7.3019778E-003, 7.3019778E-003
 4.1926274E-001, 2.5550510E+002,-7.4091316E+000, 3.7586371E+000,-3.8158514E+000,-2.7951855E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1480007E+002, 2.4801080E+002, 1.5531225E-002, 1.5531225E-002
 4.8913988E-001, 4.1586835E+002,-3.3421112E+001, 5.4331457E+000,-3.8175566E+000,-2.4874515E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4329216E+002, 3.8403796E+002, 1.5531225E-002, 1.5531225E-002
 5.4698592E-001, 4.0622008E+002,-1.6819965E+002, 2.8902943E+000,-1.2459677E+001, 1.2462856E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7888239E+002, 2.2846351E+002, 3.0159433E-002, 3.0159433E-002
 6.0483199E-001, 1.4858598E+002,-2.1374544E+002,-1.0879413E+000,-1.2460929E+001, 8.1431724E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3074023E+002,-7.8700193E+001, 3.0159433E-002, 3.0159433E-002
 6.6846269E-001, 1.8525955E+001,-2.1839567E+001,-3.0728835E-001,-1.0396518E+001, 3.2729448E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9139832E+001,-1.4014145E+001, 2.2406363E-002, 2.2406363E-002
